event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Blocked,false,1,395.8,13.3,34.094977954765554,false,false,true,false,true
Shot Attempt - Bottom middle,false,1,457.8,7.4,3.404352413731026,true,false,false,true,false
Shot Attempt - Over the net,false,1,651.7,19.7,4.924092792332526,false,true,false,true,false
Shot Attempt - Blocked,false,1,1059.5,13.1,3.228647869635616,false,true,true,true,false
Shot Attempt - Over the net,false,1,1069.4,3.2,3.9603118304583846,false,false,false,false,false
Shot Attempt - Wide right,false,2,50.0,12.6,32.8686789333675,false,true,false,true,false
Shot Attempt - Blocked,false,2,381.9,16.8,2.911251762169199,false,false,false,false,false
Shot Attempt - Blocked,false,2,436.8,21.9,4.520392009750301,false,false,false,false,false
Shot Attempt - Blocked,false,2,480.7,15.9,7.209381129452785,false,false,false,false,false
Shot Attempt - Blocked,false,2,560.8,15.5,4.982419590375818,false,false,false,false,true
Shot Attempt - Upper left,true,2,574.8,11.6,30.747220225461056,false,false,false,false,false
Shot Attempt - Blocked,false,2,831.9,4.1,0,false,false,true,false,false
Shot Attempt - Upper right,true,2,838.9,12.2,5.322449158969457,false,false,false,false,true
Shot Attempt - Blocked,false,3,920.6,11.0,76.21840276434638,false,false,true,false,false
Shot Attempt - Blocked,false,3,764.0,14.6,32.23678655213023,false,false,false,false,false
Shot Attempt - Blocked,false,2,956.9,13.3,3.0659041839903733,false,false,false,false,false
Shot Attempt - Over the net,false,3,611.0,14.7,41.70388402745368,false,false,false,true,false
Shot Attempt - Blocked,false,3,949.0,17.9,5.928695546215155,false,false,false,false,false
Shot Attempt - Blocked,false,3,1132.1,9.6,6.219229688791155,false,false,false,false,false
Shot Attempt - Blocked,false,3,1260.0,14.8,8.056044946652033,false,false,false,false,false
Shot Attempt - Bottom middle,false,3,1344.0,9.7,2.019207151048367,false,false,false,false,false
Shot Attempt - Blocked,false,3,1348.0,4.8,2.2025981617658053,true,false,false,true,false
Shot Attempt - Blocked,false,1,519.8,10.0,70.46334506187162,false,false,false,false,false
Shot Attempt - Blocked,false,3,1365.0,19.4,5.59743719145914,false,true,false,true,false
Shot Attempt - Over the net,false,3,1443.0,17.5,4.8852025681173,false,false,false,false,false
Shot Attempt - Blocked,false,3,1464.9,18.5,8.554710685247937,false,true,false,true,false
Shot Attempt - Blocked,false,3,1488.0,20.2,4.478359365669233,false,false,false,false,false
Shot Attempt - Blocked,false,3,1496.0,17.8,24.288802178381285,false,false,true,false,false
Shot Attempt - Blocked,false,2,926.8,11.1,62.71579270637694,false,false,false,true,false
Shot Attempt - Deflected,false,1,599.2,11.9,57.144278049567006,false,false,false,false,false
Shot Attempt - Deflected,false,1,383.9,18.5,51.08233669328205,false,false,false,false,false
Shot Attempt - Blocked,false,2,619.7,11.6,47.61954879539468,false,false,false,false,false
Shot Attempt - Wide left,false,3,534.4,15.8,40.51539399045537,false,false,false,false,false
Shot Attempt - Wide left,false,3,69.7,14.8,53.7022237899468,false,false,false,true,false
Shot Attempt - Blocked,false,1,244.7,18.1,67.7781887746114,false,false,false,false,false
Shot Attempt - Blocked,false,1,394.2,23.1,53.3929251873925,false,false,false,false,false
Shot Attempt - Wide right,false,1,683.8,17.8,39.26463566667536,false,false,false,false,false
Shot Attempt - Wide right,false,3,43.4,17.5,59.9158434412248,false,false,false,false,false
Shot Attempt - Lower left,false,3,268.1,25.5,65.92000548976968,false,false,false,false,true
Shot Attempt - Deflected,false,3,1066.5,20.5,61.62075691389205,false,false,false,false,false
Shot Attempt - Deflected,false,3,353.1,20.7,53.305676205556004,false,false,false,false,false
Shot Attempt - Upper right,false,3,839.1,14.6,89.60756929065913,false,false,true,false,false
Shot Attempt - Blocked,false,1,145.3,16.3,72.79342741195855,false,false,false,false,false
Shot Attempt - Blocked,false,1,158.4,15.2,83.20211749971367,false,true,false,true,false
Shot Attempt - Blocked,false,1,252.7,7.7,77.22875743509856,false,false,true,true,false
Shot Attempt - Blocked,false,1,299.6,19.6,58.986115939584934,false,false,false,false,false
Shot Attempt - Blocked,false,1,342.1,24.8,76.97080519205625,false,false,false,false,true
Shot Attempt - Over the net,false,1,539.5,20.7,56.84826623841443,false,false,false,false,false
Shot Attempt - Blocked,false,1,755.7,16.9,70.91888557104643,false,true,true,true,false
Shot Attempt - Blocked,false,1,918.5,11.5,57.835609486401445,false,false,false,false,false
Shot Attempt - Upper right,true,1,1126.9,3.7,80.78897345918332,false,true,false,true,false
Shot Attempt - Over the net,false,2,264.7,13.3,43.484592099977874,false,false,false,false,true
Shot Attempt - Upper left,true,2,332.6,6.4,88.18169703554817,false,true,true,true,false
Shot Attempt - Blocked,false,2,893.0,17.8,63.00416160591339,false,false,false,false,false
Shot Attempt - Blocked,false,2,960.8,10.8,62.48799737614855,false,false,false,true,false
Shot Attempt - Blocked,false,3,241.5,7.3,46.66833744829331,false,false,false,false,false
Shot Attempt - Blocked,false,3,289.2,17.3,52.99747347180383,false,false,false,false,true
Shot Attempt - Blocked,false,3,565.6,5.2,74.35775354279127,false,false,false,false,false
Shot Attempt - Blocked,false,3,685.0,15.9,84.96806577717079,false,false,true,false,true
Shot Attempt - Blocked,false,3,766.4,16.9,73.9154243416267,false,true,true,true,false
Shot Attempt - Wide right,false,3,1121.9,6.8,63.434948822922,true,false,false,true,false
Shot Attempt - Deflected,false,3,1172.2,9.8,34.1769887737929,false,false,false,false,false
Shot Attempt - Blocked,false,2,884.3,14.3,52.53506372332812,false,false,false,false,false
Shot Attempt - Blocked,false,1,36.7,10.9,48.3664606634298,false,false,false,false,false
Shot Attempt - Blocked,false,1,80.5,13.5,85.73210669970918,false,false,false,false,true
Shot Attempt - Over the net,false,1,176.0,6.1,55.00797980144134,false,false,false,false,true
Shot Attempt - Blocked,false,1,193.5,16.7,62.049030972109826,false,false,false,false,false
Shot Attempt - Blocked,false,1,396.5,15.2,80.53767779197439,false,false,false,false,false
Shot Attempt - Blocked,false,1,879.4,12.1,51.044092162241114,false,true,false,true,false
Shot Attempt - Blocked,false,1,1095.6,17.0,69.01079906389961,false,true,true,true,false
Shot Attempt - Bottom middle,true,2,308.8,4.4,61.07357416474638,true,false,false,true,false
Shot Attempt - Wide right,false,2,318.4,11.1,49.00780454237234,false,false,false,false,false
Shot Attempt - Lower right,true,2,416.6,2.0,14.743562836470735,false,false,false,false,false
Shot Attempt - Lower right,true,2,674.0,1.7,10.007979801441337,false,false,true,false,true
Shot Attempt - Blocked,false,2,728.9,17.2,79.93400896676535,false,true,false,true,true
Shot Attempt - Upper right,false,2,908.8,12.7,74.42745640318974,false,false,false,false,true
Shot Attempt - Upper left,true,2,946.3,1.4,61.699244233993625,true,false,false,true,false
Shot Attempt - Blocked,false,2,1078.4,19.9,59.18429424827082,false,false,false,false,false
Shot Attempt - Wide right,false,2,1160.5,18.9,71.56505117707799,false,false,false,false,false
Shot Attempt - Blocked,false,2,1184.9,16.6,57.264773727892404,false,false,false,false,true
Shot Attempt - Top middle,true,2,1187.9,1.1,84.8055710922652,true,false,false,true,false
Shot Attempt - Blocked,false,3,279.1,17.6,89.02346196423844,false,false,false,false,true
Shot Attempt - Deflected,false,3,311.8,21.3,62.59242456218159,false,true,false,true,false
Shot Attempt - Blocked,false,3,534.7,9.7,22.34810834790941,false,false,false,false,false
Shot Attempt - Wide right,false,3,731.5,16.5,70.13570259659,false,false,false,false,false
Shot Attempt - Wide right,false,3,1112.4,16.4,44.7519678718435,false,false,false,false,false
Shot Attempt - Blocked,false,1,74.3,11.3,70.41600622975182,false,false,false,false,false
Shot Attempt - Deflected,false,1,284.1,18.9,64.8321298502184,false,true,false,true,true
Shot Attempt - Blocked,false,1,355.1,9.7,6.869992308214258,false,false,false,false,false
Shot Attempt - Blocked,false,1,477.6,13.3,75.01243802894318,false,false,false,false,false
Shot Attempt - Blocked,false,1,580.0,17.2,55.43747535111818,true,false,false,false,false
Shot Attempt - Blocked,false,1,583.1,7.9,48.30186567443501,false,false,true,false,false
Shot Attempt - Over the net,false,1,615.2,6.7,82.23483398157467,false,true,true,true,false
Shot Attempt - Blocked,false,1,668.8,11.1,81.64924746766859,false,false,false,false,false
Shot Attempt - Blocked,false,1,686.3,19.8,50.66728567823913,false,false,false,false,false
Shot Attempt - Blocked,false,1,712.8,14.2,52.01185827447511,false,false,false,false,false
Shot Attempt - Blocked,false,1,784.2,12.8,37.65877418863584,true,false,false,false,false
Shot Attempt - Over the net,false,1,797.8,11.7,21.07749411698674,false,false,false,false,false
Shot Attempt - Wide right,false,1,843.0,5.1,66.5014343240479,false,true,true,true,true
Shot Attempt - Blocked,false,1,860.1,20.7,61.50436138175501,false,false,false,false,false
Shot Attempt - Wide left,false,1,900.0,3.0,84.28940686250037,false,true,true,true,false
Shot Attempt - Blocked,false,1,912.0,15.8,58.19467107500305,false,false,false,false,true
Shot Attempt - Deflected,false,1,965.5,9.3,0,false,false,false,false,false
Shot Attempt - Deflected,false,1,1043.4,17.8,58.17255342332689,false,true,false,true,false
Shot Attempt - Wide right,false,1,1087.2,11.7,51.666659890901364,false,false,false,false,false
Shot Attempt - Wide right,false,1,1118.3,2.3,59.93141717813755,false,true,true,true,false
Shot Attempt - Blocked,false,1,1171.1,14.5,85.63172256541161,false,false,false,false,false
Shot Attempt - Blocked,false,1,1200.5,23.6,65.78365455843998,false,false,false,false,false
Shot Attempt - Upper right,true,2,120.6,16.4,71.56505117707799,false,false,false,false,false
Shot Attempt - Blocked,false,2,182.5,19.9,65.55604521958347,false,false,false,false,false
Shot Attempt - Blocked,false,2,211.5,11.1,40.601294645004465,false,true,false,true,false
Shot Attempt - Blocked,false,2,266.3,15.7,71.09542415738834,false,false,false,false,false
Shot Attempt - Wide left,false,2,372.7,11.6,83.55046529615772,false,false,false,false,false
Shot Attempt - Upper left,true,2,421.1,12.4,64.92558065818433,false,true,false,true,true
Shot Attempt - Blocked,false,2,515.7,16.6,69.44395478041653,false,true,true,true,false
Shot Attempt - Blocked,false,2,674.0,19.6,83.53018001482683,false,true,false,true,false
Shot Attempt - Over the net,false,2,690.1,7.5,64.84069808396835,true,false,false,true,false
Shot Attempt - Deflected,false,2,774.9,16.5,48.9542477155211,false,false,false,false,false
Shot Attempt - Wide right,false,2,788.4,16.6,64.23067237566129,false,true,true,true,false
Shot Attempt - Wide right,false,2,817.8,8.5,69.60512391795163,false,false,true,false,false
Shot Attempt - Blocked,false,2,1076.1,22.0,63.434948822922,false,true,false,true,false
Shot Attempt - Blocked,false,2,1144.9,15.2,86.6114430092765,false,false,false,false,false
Shot Attempt - Blocked,false,2,1186.5,15.1,31.690821304599524,false,false,false,false,false
Shot Attempt - Deflected,false,3,16.3,9.4,4.939215542126199,false,false,false,false,true
Shot Attempt - Deflected,false,3,75.2,15.7,52.975039729992886,false,false,false,false,false
Shot Attempt - Blocked,false,3,77.3,5.2,15.255118703057775,false,false,false,false,false
Shot Attempt - Deflected,false,3,114.4,20.7,75.28492834940224,false,false,false,false,true
Shot Attempt - Blocked,false,3,166.2,12.5,69.33387656904675,false,false,false,false,false
Shot Attempt - Blocked,false,3,262.1,22.1,62.1166593795518,false,false,false,false,false
Shot Attempt - Blocked,false,3,290.3,15.0,44.41536947929482,false,false,false,false,false
Shot Attempt - Upper left,true,3,373.0,8.5,71.78290480217515,false,false,false,false,false
Shot Attempt - Wide left,false,3,984.6,6.2,24.70243022777131,false,false,false,false,true
Shot Attempt - Deflected,false,3,1084.1,17.5,80.0493733120484,false,true,true,true,false
Shot Attempt - Deflected,false,3,1107.2,13.0,59.51105950016907,false,false,false,false,false
Shot Attempt - Blocked,false,3,1113.3,14.5,88.02506598911802,false,false,false,false,false
Shot Attempt - Blocked,false,1,48.8,11.1,18.43494882292201,false,false,false,false,false
Shot Attempt - Deflected,false,1,254.5,10.0,32.27564431457763,false,false,false,false,false
Shot Attempt - Wide left,false,1,278.0,1.9,81.02737338510362,true,false,true,true,false
Shot Attempt - Deflected,false,1,437.4,4.1,0,false,false,true,false,false
Shot Attempt - Wide right,false,3,683.3,16.1,84.28940686250036,false,true,true,false,false
Shot Attempt - Blocked,false,3,1019.5,17.0,53.3438915840331,false,false,false,false,true
Shot Attempt - Wide right,false,1,653.6,9.4,75.66456458047989,true,false,false,true,false
Shot Attempt - Wide right,false,1,720.5,18.0,74.63153667820389,false,true,false,true,false
Shot Attempt - Deflected,false,1,769.3,13.6,28.0446869479748,false,false,false,false,false
Shot Attempt - Wide left,false,1,772.5,8.8,48.42387124493069,false,false,false,false,false
Shot Attempt - Over the net,false,1,787.8,10.9,28.42120922452686,false,false,false,false,false
Shot Attempt - Upper right,true,1,1047.3,13.8,69.14554196042165,false,true,true,true,false
Shot Attempt - Blocked,false,1,1103.1,9.1,34.651315912004534,false,false,false,false,false
